"filename", "language", "JSON", "Docker", "C++", "Markdown", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\dev\cpp-judger-project\backend\myapp\temp\102\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\dev\cpp-judger-project\backend\myapp\temp\103\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\104\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\105\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\106\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\107\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\108\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\dev\cpp-judger-project\backend\myapp\temp\109\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\dev\cpp-judger-project\backend\myapp\temp\10\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\110\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\dev\cpp-judger-project\backend\myapp\temp\111\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 8, 1, 12
"c:\dev\cpp-judger-project\backend\myapp\temp\112\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 8, 1, 11
"c:\dev\cpp-judger-project\backend\myapp\temp\113\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 8, 1, 11
"c:\dev\cpp-judger-project\backend\myapp\temp\114\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\dev\cpp-judger-project\backend\myapp\temp\115\main.cpp", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\dev\cpp-judger-project\backend\myapp\temp\116\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\117\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\118\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\119\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\11\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\120\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\dev\cpp-judger-project\backend\myapp\temp\121\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\122\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\123\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\124\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\125\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\126\main.cpp", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\127\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\128\main.cpp", "C++", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\dev\cpp-judger-project\backend\myapp\temp\129\main.cpp", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\dev\cpp-judger-project\backend\myapp\temp\12\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\130\main.cpp", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\dev\cpp-judger-project\backend\myapp\temp\131\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\dev\cpp-judger-project\backend\myapp\temp\132\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\133\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\134\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\135\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\136\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\137\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\138\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\139\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\13\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\140\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\141\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\dev\cpp-judger-project\backend\myapp\temp\142\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\143\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\144\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\145\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\146\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\dev\cpp-judger-project\backend\myapp\temp\147\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\148\main.cpp", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\149\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\dev\cpp-judger-project\backend\myapp\temp\14\main.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
